Busca;Posicao;Valor_Pesquisado;Tempo_Execucao;Tempo_Insercao_Lista;Tamanho_Vetor
Binaria; -1; 26239; 26.024000; 1495243.177000; 262144
Binaria; -1; 76057; 25.814000; 1495243.177000; 262144
Binaria; -1; 984; 74.377000; 1495243.177000; 262144
Binaria; 33752; 67288; 3.343000; 1495243.177000; 262144
Binaria; -1; 26318; 25.144000; 1495243.177000; 262144
Binaria; -1; 121770; 25.758000; 1495243.177000; 262144
Binaria; -1; 47940; 25.625000; 1495243.177000; 262144
Binaria; 3898; 7874; 0.374000; 1495243.177000; 262144
Binaria; -1; 69247; 25.502000; 1495243.177000; 262144
Binaria; -1; 88589; 26.205000; 1495243.177000; 262144
Binaria; 47536; 94987; 4.681000; 1495243.177000; 262144
Binaria; -1; 75723; 25.777000; 1495243.177000; 262144
Binaria; 4176; 8407; 0.421000; 1495243.177000; 262144
Binaria; 10717; 21451; 0.797000; 1495243.177000; 262144
Binaria; 26209; 52093; 1.993000; 1495243.177000; 262144
Binaria; -1; 62753; 26.124000; 1495243.177000; 262144
Binaria; -1; 29787; 29.323000; 1495243.177000; 262144
Binaria; -1; 95632; 26.642000; 1495243.177000; 262144
Binaria; -1; 44440; 26.259000; 1495243.177000; 262144
Binaria; 38294; 76348; 3.918000; 1495243.177000; 262144
Binaria; 43503; 86934; 4.367000; 1495243.177000; 262144
Binaria; 58630; 117261; 5.480000; 1495243.177000; 262144
Binaria; -1; 113971; 26.129000; 1495243.177000; 262144
Binaria; 59587; 119128; 5.869000; 1495243.177000; 262144
Binaria; -1; 57625; 26.235000; 1495243.177000; 262144
Binaria; 29955; 59652; 2.974000; 1495243.177000; 262144
Binaria; 25760; 51183; 1.783000; 1495243.177000; 262144
Binaria; -1; 51752; 24.937000; 1495243.177000; 262144
Binaria; -1; 15719; 26.800000; 1495243.177000; 262144
Binaria; -1; 2058; 26.325000; 1495243.177000; 262144
Binaria; 52692; 105291; 5.521000; 1495243.177000; 262144
Binaria; -1; 41958; 29.392000; 1495243.177000; 262144
Binaria; 38850; 77467; 3.865000; 1495243.177000; 262144
Binaria; -1; 106275; 25.718000; 1495243.177000; 262144
Binaria; -1; 108598; 26.059000; 1495243.177000; 262144
Binaria; -1; 103785; 26.201000; 1495243.177000; 262144
Binaria; -1; 97045; 26.026000; 1495243.177000; 262144
Binaria; 12796; 25538; 1.259000; 1495243.177000; 262144
Binaria; 55588; 111012; 5.010000; 1495243.177000; 262144
Binaria; -1; 34644; 25.768000; 1495243.177000; 262144
Binaria; -1; 113479; 26.083000; 1495243.177000; 262144
Binaria; -1; 74999; 26.002000; 1495243.177000; 262144
Binaria; -1; 110367; 26.181000; 1495243.177000; 262144
Binaria; -1; 121239; 26.097000; 1495243.177000; 262144
Binaria; 47955; 95802; 4.776000; 1495243.177000; 262144
Binaria; 15824; 31461; 1.486000; 1495243.177000; 262144
Binaria; -1; 52344; 25.046000; 1495243.177000; 262144
Binaria; 62868; 125589; 6.314000; 1495243.177000; 262144
Binaria; -1; 126445; 25.984000; 1495243.177000; 262144
Binaria; 48456; 96784; 4.886000; 1495243.177000; 262144
Binaria; 35240; 70289; 3.374000; 1495243.177000; 262144
Binaria; -1; 81732; 25.178000; 1495243.177000; 262144
Binaria; -1; 82398; 26.042000; 1495243.177000; 262144
Binaria; 26794; 53260; 2.628000; 1495243.177000; 262144
Binaria; -1; 69212; 25.471000; 1495243.177000; 262144
Binaria; -1; 9023; 26.232000; 1495243.177000; 262144
Binaria; -1; 112264; 26.174000; 1495243.177000; 262144
Binaria; -1; 120395; 27.968000; 1495243.177000; 262144
Binaria; -1; 60128; 28.114000; 1495243.177000; 262144
Binaria; -1; 127983; 28.355000; 1495243.177000; 262144
Binaria; 60962; 121806; 6.568000; 1495243.177000; 262144
Binaria; -1; 34419; 28.189000; 1495243.177000; 262144
Binaria; 19606; 38941; 2.161000; 1495243.177000; 262144
Binaria; 34239; 68273; 3.789000; 1495243.177000; 262144
Binaria; 4527; 9046; 0.499000; 1495243.177000; 262144
Binaria; 8334; 16539; 0.603000; 1495243.177000; 262144
Binaria; -1; 41059; 30.068000; 1495243.177000; 262144
Binaria; 53122; 106091; 6.101000; 1495243.177000; 262144
Binaria; -1; 41430; 31.449000; 1495243.177000; 262144
Binaria; -1; 20423; 30.690000; 1495243.177000; 262144
Binaria; 4546; 9088; 0.461000; 1495243.177000; 262144
Binaria; -1; 23261; 30.778000; 1495243.177000; 262144
Binaria; -1; 95422; 31.030000; 1495243.177000; 262144
Binaria; -1; 119455; 26.973000; 1495243.177000; 262144
Binaria; 6799; 13500; 0.760000; 1495243.177000; 262144
Binaria; -1; 59576; 26.099000; 1495243.177000; 262144
Binaria; -1; 19268; 26.231000; 1495243.177000; 262144
Binaria; 32700; 65197; 3.378000; 1495243.177000; 262144
Binaria; -1; 53517; 26.034000; 1495243.177000; 262144
Binaria; -1; 14066; 27.612000; 1495243.177000; 262144
Binaria; 15596; 30981; 1.739000; 1495243.177000; 262144
Binaria; 61632; 123158; 6.463000; 1495243.177000; 262144
Binaria; -1; 95150; 28.308000; 1495243.177000; 262144
Binaria; -1; 112731; 28.188000; 1495243.177000; 262144
Binaria; -1; 45418; 28.996000; 1495243.177000; 262144
Binaria; -1; 33362; 28.089000; 1495243.177000; 262144
Binaria; 60621; 121107; 6.702000; 1495243.177000; 262144
Binaria; 13380; 26682; 1.382000; 1495243.177000; 262144
Binaria; 11016; 22109; 0.467000; 1495243.177000; 262144
Binaria; -1; 49587; 26.586000; 1495243.177000; 262144
Binaria; -1; 23018; 29.199000; 1495243.177000; 262144
Binaria; 6484; 12915; 0.876000; 1495243.177000; 262144
Binaria; -1; 84006; 29.598000; 1495243.177000; 262144
Binaria; -1; 61959; 30.710000; 1495243.177000; 262144
Binaria; 40661; 81189; 4.542000; 1495243.177000; 262144
Binaria; -1; 92404; 30.532000; 1495243.177000; 262144
Binaria; -1; 77851; 31.798000; 1495243.177000; 262144
Binaria; -1; 121600; 30.564000; 1495243.177000; 262144
Binaria; -1; 67495; 30.366000; 1495243.177000; 262144
Binaria; -1; 118633; 30.743000; 1495243.177000; 262144
Sequencial; -1; 26239; 2.478000; 20.231000; 262144
Sequencial; -1; 76057; 2.708000; 20.231000; 262144
Sequencial; -1; 984; 2.592000; 20.231000; 262144
Sequencial; 159281; 67288; 1.393000; 20.231000; 262144
Sequencial; -1; 26318; 2.326000; 20.231000; 262144
Sequencial; -1; 121770; 2.904000; 20.231000; 262144
Sequencial; -1; 47940; 2.355000; 20.231000; 262144
Sequencial; 152499; 7874; 1.346000; 20.231000; 262144
Sequencial; -1; 69247; 2.821000; 20.231000; 262144
Sequencial; -1; 88589; 2.547000; 20.231000; 262144
Sequencial; 218016; 94987; 1.950000; 20.231000; 262144
Sequencial; -1; 75723; 2.466000; 20.231000; 262144
Sequencial; 149129; 8407; 1.609000; 20.231000; 262144
Sequencial; 214547; 21451; 2.067000; 20.231000; 262144
Sequencial; 148263; 52093; 1.289000; 20.231000; 262144
Sequencial; -1; 62753; 2.420000; 20.231000; 262144
Sequencial; -1; 29787; 2.750000; 20.231000; 262144
Sequencial; -1; 95632; 2.563000; 20.231000; 262144
Sequencial; -1; 44440; 2.326000; 20.231000; 262144
Sequencial; 176759; 76348; 1.545000; 20.231000; 262144
Sequencial; 154694; 86934; 1.822000; 20.231000; 262144
Sequencial; 258291; 117261; 2.512000; 20.231000; 262144
Sequencial; -1; 113971; 2.300000; 20.231000; 262144
Sequencial; 144776; 119128; 1.635000; 20.231000; 262144
Sequencial; -1; 57625; 2.563000; 20.231000; 262144
Sequencial; 167491; 59652; 1.673000; 20.231000; 262144
Sequencial; 103622; 51183; 0.949000; 20.231000; 262144
Sequencial; -1; 51752; 2.269000; 20.231000; 262144
Sequencial; -1; 15719; 2.731000; 20.231000; 262144
Sequencial; -1; 2058; 2.499000; 20.231000; 262144
Sequencial; 32193; 105291; 0.309000; 20.231000; 262144
Sequencial; -1; 41958; 2.312000; 20.231000; 262144
Sequencial; 104; 77467; 0.004000; 20.231000; 262144
Sequencial; -1; 106275; 2.840000; 20.231000; 262144
Sequencial; -1; 108598; 2.537000; 20.231000; 262144
Sequencial; -1; 103785; 2.335000; 20.231000; 262144
Sequencial; -1; 97045; 2.478000; 20.231000; 262144
Sequencial; 241041; 25538; 2.611000; 20.231000; 262144
Sequencial; 136340; 111012; 1.230000; 20.231000; 262144
Sequencial; -1; 34644; 2.337000; 20.231000; 262144
Sequencial; -1; 113479; 2.840000; 20.231000; 262144
Sequencial; -1; 74999; 2.557000; 20.231000; 262144
Sequencial; -1; 110367; 2.306000; 20.231000; 262144
Sequencial; -1; 121239; 2.422000; 20.231000; 262144
Sequencial; 213867; 95802; 2.356000; 20.231000; 262144
Sequencial; 80531; 31461; 0.825000; 20.231000; 262144
Sequencial; -1; 52344; 2.283000; 20.231000; 262144
Sequencial; 240180; 125589; 2.486000; 20.231000; 262144
Sequencial; -1; 126445; 2.465000; 20.231000; 262144
Sequencial; 37435; 96784; 0.431000; 20.231000; 262144
Sequencial; 245070; 70289; 2.390000; 20.231000; 262144
Sequencial; -1; 81732; 2.336000; 20.231000; 262144
Sequencial; -1; 82398; 2.937000; 20.231000; 262144
Sequencial; 2006; 53260; 0.031000; 20.231000; 262144
Sequencial; -1; 69212; 2.366000; 20.231000; 262144
Sequencial; -1; 9023; 2.559000; 20.231000; 262144
Sequencial; -1; 112264; 2.591000; 20.231000; 262144
Sequencial; -1; 120395; 2.558000; 20.231000; 262144
Sequencial; -1; 60128; 2.305000; 20.231000; 262144
Sequencial; -1; 127983; 2.568000; 20.231000; 262144
Sequencial; 1986; 121806; 0.032000; 20.231000; 262144
Sequencial; -1; 34419; 2.639000; 20.231000; 262144
Sequencial; 160764; 38941; 1.404000; 20.231000; 262144
Sequencial; 124723; 68273; 1.107000; 20.231000; 262144
Sequencial; 121728; 9046; 1.333000; 20.231000; 262144
Sequencial; 30376; 16539; 0.382000; 20.231000; 262144
Sequencial; -1; 41059; 2.493000; 20.231000; 262144
Sequencial; 125579; 106091; 1.305000; 20.231000; 262144
Sequencial; -1; 41430; 2.382000; 20.231000; 262144
Sequencial; -1; 20423; 2.514000; 20.231000; 262144
Sequencial; 228207; 9088; 2.348000; 20.231000; 262144
Sequencial; -1; 23261; 2.301000; 20.231000; 262144
Sequencial; -1; 95422; 2.451000; 20.231000; 262144
Sequencial; -1; 119455; 2.754000; 20.231000; 262144
Sequencial; 244687; 13500; 2.238000; 20.231000; 262144
Sequencial; -1; 59576; 2.342000; 20.231000; 262144
Sequencial; -1; 19268; 2.271000; 20.231000; 262144
Sequencial; 72167; 65197; 0.720000; 20.231000; 262144
Sequencial; -1; 53517; 2.529000; 20.231000; 262144
Sequencial; -1; 14066; 2.301000; 20.231000; 262144
Sequencial; 147470; 30981; 1.454000; 20.231000; 262144
Sequencial; 123628; 123158; 1.467000; 20.231000; 262144
Sequencial; -1; 95150; 2.419000; 20.231000; 262144
Sequencial; -1; 112731; 2.427000; 20.231000; 262144
Sequencial; -1; 45418; 2.294000; 20.231000; 262144
Sequencial; -1; 33362; 2.873000; 20.231000; 262144
Sequencial; 44414; 121107; 0.442000; 20.231000; 262144
Sequencial; 98149; 26682; 0.872000; 20.231000; 262144
Sequencial; 208512; 22109; 1.852000; 20.231000; 262144
Sequencial; -1; 49587; 2.677000; 20.231000; 262144
