Busca;Posicao;Valor_Pesquisado;Tempo_Execucao;Tempo_Insercao_Lista;Tamanho_Vetor
Binaria; -1; 1777; 0.077000; 55.240000; 4096
Binaria; -1; 1828; 0.060000; 55.240000; 4096
Binaria; -1; 696; 0.058000; 55.240000; 4096
Binaria; -1; 201; 0.076000; 55.240000; 4096
Binaria; -1; 330; 0.062000; 55.240000; 4096
Binaria; -1; 888; 0.071000; 55.240000; 4096
Binaria; -1; 3; 0.070000; 55.240000; 4096
Binaria; -1; 810; 0.070000; 55.240000; 4096
Binaria; 534; 1080; 0.012000; 55.240000; 4096
Binaria; -1; 1022; 0.070000; 55.240000; 4096
Binaria; 283; 559; 0.006000; 55.240000; 4096
Binaria; -1; 1136; 0.070000; 55.240000; 4096
Binaria; 694; 1385; 0.013000; 55.240000; 4096
Binaria; 893; 1764; 0.016000; 55.240000; 4096
Binaria; 654; 1303; 0.011000; 55.240000; 4096
Binaria; -1; 177; 0.060000; 55.240000; 4096
Binaria; -1; 1300; 0.069000; 55.240000; 4096
Binaria; 18; 55; 0.002000; 55.240000; 4096
Binaria; -1; 270; 0.059000; 55.240000; 4096
Binaria; -1; 647; 0.058000; 55.240000; 4096
Binaria; -1; 782; 0.057000; 55.240000; 4096
Binaria; 120; 258; 0.004000; 55.240000; 4096
Binaria; -1; 964; 0.067000; 55.240000; 4096
Binaria; 835; 1672; 0.014000; 55.240000; 4096
Binaria; 295; 585; 0.005000; 55.240000; 4096
Binaria; -1; 837; 0.057000; 55.240000; 4096
Binaria; -1; 773; 0.058000; 55.240000; 4096
Binaria; -1; 168; 0.058000; 55.240000; 4096
Binaria; 691; 1379; 0.011000; 55.240000; 4096
Binaria; 675; 1361; 0.011000; 55.240000; 4096
Binaria; 431; 861; 0.007000; 55.240000; 4096
Binaria; -1; 1509; 0.057000; 55.240000; 4096
Binaria; -1; 1189; 0.057000; 55.240000; 4096
Binaria; -1; 1557; 0.058000; 55.240000; 4096
Binaria; 857; 1710; 0.013000; 55.240000; 4096
Binaria; 768; 1519; 0.012000; 55.240000; 4096
Binaria; -1; 446; 0.061000; 55.240000; 4096
Binaria; 23; 66; 0.002000; 55.240000; 4096
Binaria; 339; 682; 0.006000; 55.240000; 4096
Binaria; 952; 1878; 0.015000; 55.240000; 4096
Binaria; 539; 1088; 0.009000; 55.240000; 4096
Binaria; -1; 1241; 0.057000; 55.240000; 4096
Binaria; 679; 1366; 0.011000; 55.240000; 4096
Binaria; 409; 825; 0.007000; 55.240000; 4096
Binaria; -1; 1357; 0.056000; 55.240000; 4096
Binaria; 331; 669; 0.007000; 55.240000; 4096
Binaria; -1; 1003; 0.056000; 55.240000; 4096
Binaria; 328; 657; 0.006000; 55.240000; 4096
Binaria; 358; 724; 0.005000; 55.240000; 4096
Binaria; -1; 1625; 0.057000; 55.240000; 4096
Binaria; -1; 1305; 0.058000; 55.240000; 4096
Binaria; -1; 1507; 0.058000; 55.240000; 4096
Binaria; 957; 1884; 0.014000; 55.240000; 4096
Binaria; 131; 269; 0.004000; 55.240000; 4096
Binaria; -1; 1531; 0.057000; 55.240000; 4096
