Busca;Posicao;Valor_Pesquisado;Tempo_Execucao;Tempo_Insercao_Lista;Tamanho_Vetor
Binaria; -1; 345; 1.948000; 8745.283000; 32768
Binaria; -1; 5967; 1.909000; 8745.283000; 32768
Binaria; 984; 1997; 0.048000; 8745.283000; 32768
Binaria; -1; 3933; 1.356000; 8745.283000; 32768
Binaria; 8038; 15894; 0.287000; 8745.283000; 32768
Binaria; -1; 1558; 1.106000; 8745.283000; 32768
Binaria; 8074; 15964; 0.273000; 8745.283000; 32768
Binaria; -1; 8175; 1.105000; 8745.283000; 32768
Binaria; 4639; 9256; 0.179000; 8745.283000; 32768
Binaria; -1; 14175; 1.287000; 8745.283000; 32768
Binaria; -1; 7491; 1.858000; 8745.283000; 32768
Binaria; -1; 15059; 1.191000; 8745.283000; 32768
Binaria; 181; 360; 0.008000; 8745.283000; 32768
Binaria; -1; 13511; 1.150000; 8745.283000; 32768
Binaria; -1; 6788; 1.115000; 8745.283000; 32768
Binaria; -1; 7040; 1.112000; 8745.283000; 32768
Binaria; -1; 12692; 1.153000; 8745.283000; 32768
Binaria; -1; 11099; 1.121000; 8745.283000; 32768
Binaria; -1; 10431; 1.116000; 8745.283000; 32768
Binaria; 230; 453; 0.009000; 8745.283000; 32768
Binaria; -1; 6860; 1.352000; 8745.283000; 32768
Binaria; -1; 12832; 1.920000; 8745.283000; 32768
Binaria; 1821; 3697; 0.134000; 8745.283000; 32768
Binaria; -1; 7511; 2.522000; 8745.283000; 32768
Binaria; 4154; 8353; 0.359000; 8745.283000; 32768
Binaria; 2081; 4218; 0.076000; 8745.283000; 32768
Binaria; -1; 1659; 2.898000; 8745.283000; 32768
Binaria; -1; 1171; 2.640000; 8745.283000; 32768
Binaria; -1; 7536; 1.323000; 8745.283000; 32768
Binaria; 7755; 15290; 0.284000; 8745.283000; 32768
Binaria; -1; 5998; 1.128000; 8745.283000; 32768
Binaria; -1; 12233; 1.129000; 8745.283000; 32768
Binaria; -1; 5258; 1.243000; 8745.283000; 32768
Binaria; 3973; 7995; 0.153000; 8745.283000; 32768
Binaria; -1; 4518; 1.121000; 8745.283000; 32768
Binaria; -1; 9504; 1.168000; 8745.283000; 32768
Binaria; -1; 9553; 1.119000; 8745.283000; 32768
Binaria; -1; 8835; 1.148000; 8745.283000; 32768
Binaria; 837; 1679; 0.029000; 8745.283000; 32768
Binaria; -1; 7161; 1.333000; 8745.283000; 32768
Binaria; -1; 7010; 3.202000; 8745.283000; 32768
Binaria; 6835; 13522; 0.422000; 8745.283000; 32768
Binaria; -1; 6220; 1.298000; 8745.283000; 32768
Binaria; 5927; 11723; 0.204000; 8745.283000; 32768
Binaria; 5590; 11034; 0.175000; 8745.283000; 32768
Binaria; -1; 13009; 2.449000; 8745.283000; 32768
Binaria; -1; 2763; 2.247000; 8745.283000; 32768
Binaria; -1; 12078; 2.275000; 8745.283000; 32768
Binaria; 6301; 12460; 0.526000; 8745.283000; 32768
Binaria; -1; 13194; 2.450000; 8745.283000; 32768
Binaria; -1; 883; 2.002000; 8745.283000; 32768
Binaria; 1636; 3320; 0.131000; 8745.283000; 32768
Binaria; 7285; 14378; 0.528000; 8745.283000; 32768
Binaria; -1; 4580; 1.882000; 8745.283000; 32768
Binaria; -1; 15184; 1.181000; 8745.283000; 32768
Binaria; -1; 11083; 1.209000; 8745.283000; 32768
Binaria; -1; 8798; 1.147000; 8745.283000; 32768
Binaria; 424; 843; 0.015000; 8745.283000; 32768
Binaria; -1; 12255; 1.112000; 8745.283000; 32768
Binaria; -1; 4686; 1.139000; 8745.283000; 32768
Binaria; 73; 134; 0.004000; 8745.283000; 32768
Binaria; -1; 6605; 1.168000; 8745.283000; 32768
Binaria; 2595; 5271; 0.090000; 8745.283000; 32768
Binaria; -1; 9744; 1.254000; 8745.283000; 32768
Binaria; -1; 14600; 1.229000; 8745.283000; 32768
Binaria; 4905; 9789; 0.178000; 8745.283000; 32768
Binaria; -1; 3248; 1.238000; 8745.283000; 32768
