Busca;Posicao;Valor_Pesquisado;Tempo_Execucao;Tempo_Insercao_Lista;Tamanho_Vetor
Binaria; -1; 351; 0.095000; 11.742000; 2048
Binaria; 81; 180; 0.003000; 11.742000; 2048
Binaria; -1; 320; 0.036000; 11.742000; 2048
Binaria; 135; 297; 0.004000; 11.742000; 2048
Binaria; -1; 900; 0.030000; 11.742000; 2048
Binaria; -1; 688; 0.030000; 11.742000; 2048
Binaria; -1; 861; 0.030000; 11.742000; 2048
Binaria; 501; 996; 0.008000; 11.742000; 2048
Binaria; -1; 974; 0.029000; 11.742000; 2048
Binaria; -1; 401; 0.030000; 11.742000; 2048
Binaria; 49; 114; 0.002000; 11.742000; 2048
Binaria; -1; 69; 0.029000; 11.742000; 2048
Binaria; 198; 428; 0.004000; 11.742000; 2048
Binaria; -1; 416; 0.029000; 11.742000; 2048
Binaria; -1; 52; 0.030000; 11.742000; 2048
Binaria; -1; 582; 0.030000; 11.742000; 2048
Binaria; -1; 625; 0.029000; 11.742000; 2048
Binaria; 332; 682; 0.006000; 11.742000; 2048
Binaria; 205; 433; 0.004000; 11.742000; 2048
Binaria; -1; 502; 0.027000; 11.742000; 2048
Binaria; -1; 277; 0.028000; 11.742000; 2048
Binaria; -1; 123; 0.030000; 11.742000; 2048
Binaria; 469; 949; 0.007000; 11.742000; 2048
Binaria; 379; 790; 0.006000; 11.742000; 2048
Binaria; -1; 151; 0.027000; 11.742000; 2048
Binaria; 103; 235; 0.003000; 11.742000; 2048
Binaria; 475; 960; 0.008000; 11.742000; 2048
Binaria; 468; 946; 0.007000; 11.742000; 2048
Binaria; -1; 799; 0.028000; 11.742000; 2048
Binaria; -1; 447; 0.029000; 11.742000; 2048
Binaria; 98; 229; 0.003000; 11.742000; 2048
Binaria; -1; 502; 0.028000; 11.742000; 2048
Binaria; -1; 628; 0.029000; 11.742000; 2048
Binaria; -1; 549; 0.030000; 11.742000; 2048
Binaria; -1; 799; 0.030000; 11.742000; 2048
Binaria; 253; 528; 0.005000; 11.742000; 2048
Binaria; -1; 589; 0.049000; 11.742000; 2048
Binaria; -1; 13; 0.037000; 11.742000; 2048
Binaria; -1; 876; 0.029000; 11.742000; 2048
Binaria; 280; 563; 0.005000; 11.742000; 2048
Binaria; -1; 766; 0.027000; 11.742000; 2048
Binaria; -1; 990; 0.027000; 11.742000; 2048
Binaria; -1; 984; 0.028000; 11.742000; 2048
Binaria; -1; 194; 0.029000; 11.742000; 2048
Binaria; -1; 759; 0.029000; 11.742000; 2048
Binaria; 18; 36; 0.002000; 11.742000; 2048
Binaria; 369; 776; 0.007000; 11.742000; 2048
Binaria; -1; 384; 0.028000; 11.742000; 2048
Binaria; 31; 71; 0.002000; 11.742000; 2048
Binaria; 89; 209; 0.002000; 11.742000; 2048
Binaria; -1; 238; 0.028000; 11.742000; 2048
Binaria; 340; 700; 0.006000; 11.742000; 2048
Binaria; -1; 684; 0.028000; 11.742000; 2048
Binaria; 264; 539; 0.005000; 11.742000; 2048
Binaria; -1; 490; 0.026000; 11.742000; 2048
Binaria; -1; 835; 0.028000; 11.742000; 2048
Binaria; 368; 775; 0.006000; 11.742000; 2048
Binaria; -1; 450; 0.027000; 11.742000; 2048
Binaria; -1; 781; 0.029000; 11.742000; 2048
Binaria; 458; 926; 0.008000; 11.742000; 2048
Binaria; -1; 250; 0.028000; 11.742000; 2048
Binaria; -1; 362; 0.029000; 11.742000; 2048
Binaria; 198; 428; 0.004000; 11.742000; 2048
Binaria; 431; 878; 0.006000; 11.742000; 2048
Binaria; 113; 264; 0.003000; 11.742000; 2048
Binaria; -1; 579; 0.027000; 11.742000; 2048
Binaria; -1; 758; 0.028000; 11.742000; 2048
Binaria; 413; 853; 0.007000; 11.742000; 2048
Binaria; -1; 944; 0.028000; 11.742000; 2048
Binaria; 318; 634; 0.005000; 11.742000; 2048
Binaria; 367; 769; 0.005000; 11.742000; 2048
Binaria; 343; 711; 0.004000; 11.742000; 2048
Binaria; 488; 977; 0.006000; 11.742000; 2048
Binaria; -1; 105; 0.027000; 11.742000; 2048
Binaria; -1; 257; 0.029000; 11.742000; 2048
Binaria; -1; 736; 0.029000; 11.742000; 2048
Binaria; 62; 142; 0.002000; 11.742000; 2048
Binaria; 17; 34; 0.002000; 11.742000; 2048
Binaria; -1; 472; 0.029000; 11.742000; 2048
Binaria; -1; 565; 0.028000; 11.742000; 2048
Binaria; 296; 595; 0.005000; 11.742000; 2048
Binaria; 342; 710; 0.005000; 11.742000; 2048
Binaria; -1; 265; 0.027000; 11.742000; 2048
Binaria; -1; 632; 0.028000; 11.742000; 2048
Binaria; -1; 249; 0.028000; 11.742000; 2048
Binaria; 47; 107; 0.002000; 11.742000; 2048
Binaria; -1; 467; 0.029000; 11.742000; 2048
Binaria; 178; 376; 0.004000; 11.742000; 2048
Binaria; -1; 558; 0.027000; 11.742000; 2048
Binaria; -1; 601; 0.052000; 11.742000; 2048
Binaria; 137; 302; 0.004000; 11.742000; 2048
Binaria; 73; 160; 0.031000; 11.742000; 2048
Binaria; 476; 963; 0.032000; 11.742000; 2048
Binaria; -1; 82; 0.040000; 11.742000; 2048
Binaria; -1; 38; 0.027000; 11.742000; 2048
Binaria; -1; 227; 0.027000; 11.742000; 2048
Binaria; -1; 14; 0.027000; 11.742000; 2048
Binaria; -1; 796; 0.028000; 11.742000; 2048
Binaria; 205; 433; 0.004000; 11.742000; 2048
Binaria; -1; 958; 0.027000; 11.742000; 2048
Sequencial; -1; 351; 0.019000; 0.149000; 2048
Sequencial; 1208; 180; 0.011000; 0.149000; 2048
Sequencial; -1; 320; 0.017000; 0.149000; 2048
