Busca;Posicao;Valor_Pesquisado;Tempo_Execucao;Tempo_Insercao_Lista;Tamanho_Vetor
Binaria; 234801; 470250; 25.921000; 28802875.280000; 1048576
Binaria; -1; 470452; 116.562000; 28802875.280000; 1048576
Binaria; -1; 381814; 115.288000; 28802875.280000; 1048576
Binaria; -1; 509991; 114.456000; 28802875.280000; 1048576
Binaria; 217616; 435785; 24.758000; 28802875.280000; 1048576
Binaria; 66335; 133223; 7.941000; 28802875.280000; 1048576
Binaria; -1; 100262; 114.160000; 28802875.280000; 1048576
Binaria; 28489; 57526; 3.071000; 28802875.280000; 1048576
Binaria; 210490; 421561; 22.647000; 28802875.280000; 1048576
Binaria; 86626; 173388; 9.317000; 28802875.280000; 1048576
Binaria; -1; 67285; 113.640000; 28802875.280000; 1048576
Binaria; -1; 14911; 113.298000; 28802875.280000; 1048576
Binaria; 220222; 441026; 23.809000; 28802875.280000; 1048576
Binaria; -1; 315355; 113.325000; 28802875.280000; 1048576
Binaria; 202846; 406265; 21.930000; 28802875.280000; 1048576
Binaria; -1; 254475; 113.203000; 28802875.280000; 1048576
Binaria; 82527; 165231; 9.397000; 28802875.280000; 1048576
Binaria; 71119; 142659; 8.317000; 28802875.280000; 1048576
Binaria; 45574; 91862; 5.216000; 28802875.280000; 1048576
Binaria; 231225; 462985; 27.524000; 28802875.280000; 1048576
Binaria; -1; 466839; 120.422000; 28802875.280000; 1048576
Binaria; -1; 373838; 115.979000; 28802875.280000; 1048576
Binaria; 29103; 58676; 3.153000; 28802875.280000; 1048576
Binaria; 259047; 518897; 27.525000; 28802875.280000; 1048576
Binaria; 70523; 141506; 7.671000; 28802875.280000; 1048576
Binaria; -1; 449920; 115.673000; 28802875.280000; 1048576
Binaria; -1; 487373; 117.083000; 28802875.280000; 1048576
Binaria; -1; 72260; 113.504000; 28802875.280000; 1048576
Binaria; -1; 292705; 113.546000; 28802875.280000; 1048576
Binaria; 151496; 303344; 16.384000; 28802875.280000; 1048576
Binaria; -1; 214490; 113.255000; 28802875.280000; 1048576
Binaria; 119061; 238667; 12.862000; 28802875.280000; 1048576
Binaria; -1; 249508; 113.803000; 28802875.280000; 1048576
Binaria; -1; 72016; 117.804000; 28802875.280000; 1048576
Binaria; -1; 224370; 113.471000; 28802875.280000; 1048576
Binaria; 80421; 161005; 8.731000; 28802875.280000; 1048576
Binaria; -1; 205239; 113.236000; 28802875.280000; 1048576
Binaria; -1; 324632; 113.318000; 28802875.280000; 1048576
Binaria; 108931; 218531; 11.758000; 28802875.280000; 1048576
Binaria; 50810; 102512; 5.399000; 28802875.280000; 1048576
Binaria; -1; 498020; 113.092000; 28802875.280000; 1048576
Binaria; -1; 285817; 113.301000; 28802875.280000; 1048576
Binaria; -1; 117423; 113.385000; 28802875.280000; 1048576
Binaria; -1; 414758; 113.304000; 28802875.280000; 1048576
Binaria; -1; 76884; 113.299000; 28802875.280000; 1048576
Binaria; 261435; 523688; 29.681000; 28802875.280000; 1048576
Binaria; 72265; 144945; 8.127000; 28802875.280000; 1048576
Binaria; -1; 242115; 113.341000; 28802875.280000; 1048576
Binaria; -1; 142060; 113.370000; 28802875.280000; 1048576
Binaria; -1; 236807; 113.428000; 28802875.280000; 1048576
Binaria; -1; 180812; 113.298000; 28802875.280000; 1048576
Binaria; -1; 84611; 113.295000; 28802875.280000; 1048576
Binaria; 42754; 86357; 4.612000; 28802875.280000; 1048576
Binaria; -1; 239488; 113.238000; 28802875.280000; 1048576
Binaria; -1; 79220; 113.412000; 28802875.280000; 1048576
Binaria; 113660; 227863; 12.283000; 28802875.280000; 1048576
Binaria; -1; 165121; 113.132000; 28802875.280000; 1048576
Binaria; 20963; 42306; 2.286000; 28802875.280000; 1048576
Binaria; -1; 300123; 114.837000; 28802875.280000; 1048576
Binaria; -1; 457826; 113.368000; 28802875.280000; 1048576
Binaria; -1; 345650; 113.374000; 28802875.280000; 1048576
Binaria; 256922; 514613; 27.747000; 28802875.280000; 1048576
Binaria; 86074; 172205; 9.248000; 28802875.280000; 1048576
Binaria; -1; 70870; 113.709000; 28802875.280000; 1048576
Binaria; 30932; 62341; 3.331000; 28802875.280000; 1048576
Binaria; -1; 396575; 113.213000; 28802875.280000; 1048576
Binaria; -1; 231876; 113.379000; 28802875.280000; 1048576
Binaria; 133568; 267580; 14.453000; 28802875.280000; 1048576
Binaria; -1; 196919; 113.228000; 28802875.280000; 1048576
Binaria; -1; 450407; 113.590000; 28802875.280000; 1048576
Binaria; 184732; 370092; 20.057000; 28802875.280000; 1048576
Binaria; 85258; 170651; 9.193000; 28802875.280000; 1048576
Binaria; -1; 211936; 114.610000; 28802875.280000; 1048576
Binaria; 243440; 487516; 26.377000; 28802875.280000; 1048576
Binaria; -1; 61122; 113.193000; 28802875.280000; 1048576
Binaria; -1; 288820; 113.393000; 28802875.280000; 1048576
Binaria; -1; 486916; 113.497000; 28802875.280000; 1048576
Binaria; -1; 206067; 113.363000; 28802875.280000; 1048576
Binaria; 3344; 6647; 0.364000; 28802875.280000; 1048576
Binaria; -1; 104688; 113.188000; 28802875.280000; 1048576
Binaria; 221139; 442875; 23.914000; 28802875.280000; 1048576
Binaria; -1; 187460; 113.366000; 28802875.280000; 1048576
Binaria; -1; 189299; 113.395000; 28802875.280000; 1048576
Binaria; -1; 4944; 116.105000; 28802875.280000; 1048576
Binaria; 213192; 426948; 24.316000; 28802875.280000; 1048576
Binaria; -1; 268520; 115.403000; 28802875.280000; 1048576
Binaria; 116112; 232808; 12.741000; 28802875.280000; 1048576
Binaria; 33652; 67781; 3.687000; 28802875.280000; 1048576
Binaria; 155286; 310826; 17.047000; 28802875.280000; 1048576
Binaria; -1; 8643; 113.506000; 28802875.280000; 1048576
Binaria; 695; 1319; 0.077000; 28802875.280000; 1048576
Binaria; 65822; 132188; 7.052000; 28802875.280000; 1048576
Binaria; 261200; 523257; 28.040000; 28802875.280000; 1048576
Binaria; -1; 173524; 113.509000; 28802875.280000; 1048576
Binaria; -1; 203058; 113.390000; 28802875.280000; 1048576
Binaria; -1; 61310; 113.371000; 28802875.280000; 1048576
Binaria; 22717; 45811; 2.484000; 28802875.280000; 1048576
Binaria; -1; 434934; 113.199000; 28802875.280000; 1048576
Binaria; 164316; 328891; 17.851000; 28802875.280000; 1048576
Binaria; 121046; 242730; 13.087000; 28802875.280000; 1048576
Sequencial; 647030; 470250; 5.556000; 80.734000; 1048576
Sequencial; -1; 470452; 8.953000; 80.734000; 1048576
Sequencial; -1; 381814; 8.987000; 80.734000; 1048576
Sequencial; -1; 509991; 8.954000; 80.734000; 1048576
Sequencial; 255301; 435785; 2.180000; 80.734000; 1048576
Sequencial; 276138; 133223; 2.392000; 80.734000; 1048576
Sequencial; -1; 100262; 8.977000; 80.734000; 1048576
Sequencial; 923626; 57526; 7.917000; 80.734000; 1048576
Sequencial; 654413; 421561; 5.612000; 80.734000; 1048576
Sequencial; 397099; 173388; 3.383000; 80.734000; 1048576
Sequencial; -1; 67285; 8.980000; 80.734000; 1048576
Sequencial; -1; 14911; 8.969000; 80.734000; 1048576
Sequencial; 17783; 441026; 0.163000; 80.734000; 1048576
Sequencial; -1; 315355; 8.971000; 80.734000; 1048576
Sequencial; 546790; 406265; 4.673000; 80.734000; 1048576
Sequencial; -1; 254475; 8.954000; 80.734000; 1048576
Sequencial; 463729; 165231; 3.983000; 80.734000; 1048576
Sequencial; 406117; 142659; 3.462000; 80.734000; 1048576
Sequencial; 783787; 91862; 6.702000; 80.734000; 1048576
Sequencial; 1024701; 462985; 8.766000; 80.734000; 1048576
Sequencial; -1; 466839; 8.970000; 80.734000; 1048576
Sequencial; -1; 373838; 8.982000; 80.734000; 1048576
Sequencial; 673005; 58676; 5.750000; 80.734000; 1048576
Sequencial; 476096; 518897; 4.095000; 80.734000; 1048576
Sequencial; 800175; 141506; 6.857000; 80.734000; 1048576
Sequencial; -1; 449920; 8.958000; 80.734000; 1048576
Sequencial; -1; 487373; 8.979000; 80.734000; 1048576
Sequencial; -1; 72260; 9.762000; 80.734000; 1048576
Sequencial; -1; 292705; 9.046000; 80.734000; 1048576
Sequencial; 907735; 303344; 7.801000; 80.734000; 1048576
Sequencial; -1; 214490; 8.951000; 80.734000; 1048576
Sequencial; 894314; 238667; 7.656000; 80.734000; 1048576
Sequencial; -1; 249508; 8.975000; 80.734000; 1048576
Sequencial; -1; 72016; 8.981000; 80.734000; 1048576
Sequencial; -1; 224370; 8.962000; 80.734000; 1048576
Sequencial; 276350; 161005; 2.388000; 80.734000; 1048576
Sequencial; -1; 205239; 8.983000; 80.734000; 1048576
Sequencial; -1; 324632; 8.961000; 80.734000; 1048576
Sequencial; 878374; 218531; 7.534000; 80.734000; 1048576
Sequencial; 530388; 102512; 4.543000; 80.734000; 1048576
Sequencial; -1; 498020; 8.965000; 80.734000; 1048576
Sequencial; -1; 285817; 8.978000; 80.734000; 1048576
Sequencial; -1; 117423; 9.049000; 80.734000; 1048576
Sequencial; -1; 414758; 8.960000; 80.734000; 1048576
Sequencial; -1; 76884; 8.989000; 80.734000; 1048576
Sequencial; 579877; 523688; 4.971000; 80.734000; 1048576
Sequencial; 624826; 144945; 5.358000; 80.734000; 1048576
Sequencial; -1; 242115; 8.968000; 80.734000; 1048576
Sequencial; -1; 142060; 8.995000; 80.734000; 1048576
Sequencial; -1; 236807; 8.967000; 80.734000; 1048576
Sequencial; -1; 180812; 8.979000; 80.734000; 1048576
Sequencial; -1; 84611; 8.956000; 80.734000; 1048576
Sequencial; 442194; 86357; 3.803000; 80.734000; 1048576
Sequencial; -1; 239488; 8.957000; 80.734000; 1048576
Sequencial; -1; 79220; 8.971000; 80.734000; 1048576
Sequencial; 550626; 227863; 4.720000; 80.734000; 1048576
Sequencial; -1; 165121; 8.951000; 80.734000; 1048576
Sequencial; 103261; 42306; 0.903000; 80.734000; 1048576
Sequencial; -1; 300123; 9.010000; 80.734000; 1048576
Sequencial; -1; 457826; 8.962000; 80.734000; 1048576
Sequencial; -1; 345650; 8.983000; 80.734000; 1048576
Sequencial; 854066; 514613; 7.320000; 80.734000; 1048576
Sequencial; 803436; 172205; 6.888000; 80.734000; 1048576
Sequencial; -1; 70870; 8.967000; 80.734000; 1048576
Sequencial; 376449; 62341; 3.254000; 80.734000; 1048576
Sequencial; -1; 396575; 8.949000; 80.734000; 1048576
Sequencial; -1; 231876; 8.965000; 80.734000; 1048576
Sequencial; 365243; 267580; 3.149000; 80.734000; 1048576
Sequencial; -1; 196919; 8.946000; 80.734000; 1048576
Sequencial; -1; 450407; 8.960000; 80.734000; 1048576
Sequencial; 724227; 370092; 6.201000; 80.734000; 1048576
Sequencial; 951604; 170651; 8.151000; 80.734000; 1048576
Sequencial; -1; 211936; 8.959000; 80.734000; 1048576
Sequencial; 47113; 487516; 0.410000; 80.734000; 1048576
Sequencial; -1; 61122; 8.988000; 80.734000; 1048576
Sequencial; -1; 288820; 8.954000; 80.734000; 1048576
Sequencial; -1; 486916; 8.984000; 80.734000; 1048576
