Busca;Posicao;Valor_Pesquisado;Tempo_Execucao;Tempo_Insercao_Lista;Tamanho_Vetor
Binaria; -1; 8305; 5.672000; 45093.585000; 65536
Binaria; 4799; 9436; 0.430000; 45093.585000; 65536
Binaria; 11195; 22125; 0.896000; 45093.585000; 65536
Binaria; 18026; 35542; 1.595000; 45093.585000; 65536
Binaria; -1; 47772; 5.856000; 45093.585000; 65536
Binaria; -1; 7136; 5.482000; 45093.585000; 65536
Binaria; 30466; 60343; 2.287000; 45093.585000; 65536
Binaria; 21976; 43443; 1.495000; 45093.585000; 65536
Binaria; 18567; 36624; 1.239000; 45093.585000; 65536
Binaria; 28141; 55580; 1.737000; 45093.585000; 65536
Binaria; -1; 45156; 4.328000; 45093.585000; 65536
Binaria; -1; 4470; 4.198000; 45093.585000; 65536
Binaria; -1; 55069; 3.798000; 45093.585000; 65536
Binaria; 29437; 58236; 1.526000; 45093.585000; 65536
Binaria; 26308; 51950; 1.363000; 45093.585000; 65536
Binaria; -1; 37386; 3.530000; 45093.585000; 65536
Binaria; -1; 22647; 3.786000; 45093.585000; 65536
Binaria; -1; 31492; 3.776000; 45093.585000; 65536
Binaria; -1; 14745; 4.886000; 45093.585000; 65536
Binaria; 22139; 43779; 2.291000; 45093.585000; 65536
Binaria; -1; 17023; 6.362000; 45093.585000; 65536
Binaria; -1; 26230; 5.404000; 45093.585000; 65536
Binaria; 9703; 19111; 0.741000; 45093.585000; 65536
Binaria; -1; 54190; 4.824000; 45093.585000; 65536
Binaria; -1; 24650; 4.613000; 45093.585000; 65536
Binaria; -1; 49054; 4.218000; 45093.585000; 65536
Binaria; 1730; 3370; 0.113000; 45093.585000; 65536
Binaria; -1; 50883; 4.624000; 45093.585000; 65536
Binaria; -1; 62104; 4.275000; 45093.585000; 65536
Binaria; -1; 41638; 4.283000; 45093.585000; 65536
Binaria; -1; 10769; 3.896000; 45093.585000; 65536
Binaria; -1; 56761; 3.839000; 45093.585000; 65536
Binaria; 18977; 37427; 1.045000; 45093.585000; 65536
Binaria; 16667; 32894; 0.832000; 45093.585000; 65536
Binaria; 13839; 27303; 0.751000; 45093.585000; 65536
Binaria; -1; 20199; 6.074000; 45093.585000; 65536
Binaria; -1; 40030; 6.414000; 45093.585000; 65536
Binaria; 4563; 8998; 0.457000; 45093.585000; 65536
Binaria; 25329; 49994; 2.473000; 45093.585000; 65536
Binaria; -1; 63006; 6.737000; 45093.585000; 65536
Binaria; -1; 64578; 6.110000; 45093.585000; 65536
Binaria; -1; 30150; 6.590000; 45093.585000; 65536
Binaria; -1; 2477; 5.514000; 45093.585000; 65536
Binaria; -1; 40999; 4.778000; 45093.585000; 65536
Binaria; -1; 9738; 4.817000; 45093.585000; 65536
Binaria; 20654; 40779; 1.242000; 45093.585000; 65536
Binaria; -1; 13386; 3.542000; 45093.585000; 65536
Binaria; 16365; 32386; 0.904000; 45093.585000; 65536
Binaria; -1; 7271; 3.541000; 45093.585000; 65536
